2001;Luis;Saldaña;75477270;930214103;2
2002;Kevin;Novoa;10754416;914207358;2
2003;Nicol;Viera;74125896;987412563;1
2004;Evelyn;Puma;87456923;932158746;1
2005;Diego;Zuñiga;47856921;951478326;2
2006;Frank;Jibaja;80571521;963897401;1
2007;Lana;Rhoades;87415632;902136850;0
2008;Xoana;Gonzales;75315648;900874659;2
2009;Alex;Marin;85214379;903251749;2
2010;Fatima;Segovia;80476215;910475863;1
2011;Fabio;Langostini;75312458;951236585;0
2012;Wilmer;Lindo;45625875;958032045;1
2013;Patrick;Montes;44651298;900125357;0
